University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
McKendree University,Lebanon,IL,65.0%,5.0%,14.0%,3.0%,,8.0%,3.0%,,
University of Memphis,Memphis,TN,49.0%,5.0%,37.0%,4.0%,3.0%,,1.0%,,
Fox Valley Technical College,Appleton,WI,77.0%,4.0%,3.0%,,5.0%,9.0%,,1.0%,
Cleveland State University,Cleveland,OH,63.0%,5.0%,19.0%,,4.0%,2.0%,5.0%,,
Ferris State University,Big Rapids,MI,80.0%,5.0%,7.0%,3.0%,2.0%,1.0%,,,
New York School of Interior Design,New York,NY,48.0%,9.0%,4.0%,2.0%,3.0%,20.0%,14.0%,,
Kent State University: Tuscarawas,New Philadelphia,OH,89.0%,2.0%,3.0%,2.0%,1.0%,2.0%,,,
Oklahoma State University: Oklahoma City,Oklahoma City,OK,53.0%,11.0%,14.0%,12.0%,3.0%,5.0%,,4.0%,
Missouri Western State University,St Joseph,MO,79.0%,,10.0%,3.0%,1.0%,3.0%,1.0%,,
Luther College,Decorah,IA,82.0%,5.0%,2.0%,2.0%,2.0%,,7.0%,,
Creighton University,Omaha,NE,70.0%,8.0%,2.0%,4.0%,9.0%,2.0%,3.0%,,
Donnelly College,Kansas City,KS,9.0%,45.0%,33.0%,3.0%,5.0%,,2.0%,,
McDaniel College,Westminster,MD,65.0%,7.0%,15.0%,3.0%,4.0%,6.0%,,,
Wytheville Community College,Wytheville,VA,89.0%,2.0%,4.0%,4.0%,,,,,
Texas A&M University-Galveston,Galveston,TX,75.0%,16.0%,2.0%,3.0%,2.0%,,,,
University of Texas Health Science Center at Houston,Houston,TX,37.0%,30.0%,11.0%,3.0%,15.0%,2.0%,2.0%,,
Miami University: Oxford,Oxford,OH,77.0%,4.0%,3.0%,3.0%,2.0%,,10.0%,,
Michigan Technological University,Houghton,MI,87.0%,2.0%,,3.0%,1.0%,2.0%,3.0%,,
Michigan State University,East Lansing,MI,67.0%,4.0%,7.0%,3.0%,5.0%,,12.0%,,
Mississippi Valley State University,Itta Bena,MS,3.0%,1.0%,90.0%,,,4.0%,,,
Black Hawk College,Moline,IL,69.0%,6.0%,9.0%,12.0%,2.0%,1.0%,,,
Monmouth College,Monmouth,IL,63.0%,12.0%,10.0%,2.0%,2.0%,5.0%,6.0%,,
Fairleigh Dickinson University: College at Florham,Madison,NJ,56.0%,17.0%,11.0%,3.0%,5.0%,8.0%,,,
Creative Center,Omaha,NE,86.0%,5.0%,,3.0%,,7.0%,,,
Phillips Beth Israel School of Nursing,New York,NY,32.0%,12.0%,31.0%,,13.0%,,,,12.0%
Southeast Technical Institute,Sioux Falls,SD,85.0%,4.0%,4.0%,1.0%,2.0%,2.0%,,2.0%,
Trinity Christian College,Palos Heights,IL,68.0%,14.0%,9.0%,2.0%,2.0%,4.0%,2.0%,,
Motlow State Community College,Lynchburg,TN,80.0%,6.0%,9.0%,,3.0%,1.0%,,,
Ohio State University: Marion Campus,Marion,OH,80.0%,4.0%,4.0%,4.0%,4.0%,3.0%,,,
Indiana University Northwest,Gary,IN,55.0%,22.0%,16.0%,3.0%,2.0%,1.0%,,,
Kellogg Community College,Battle Creek,MI,74.0%,5.0%,11.0%,4.0%,2.0%,2.0%,,,
Metro Business College: Jefferson City,Jefferson City,MO,79.0%,,19.0%,,1.0%,,,1.0%,
Illinois Central College,East Peoria,IL,78.0%,5.0%,12.0%,3.0%,2.0%,,,,
Campbellsville University,Campbellsville,KY,71.0%,3.0%,13.0%,2.0%,,,10.0%,,
Emmaus Bible College,Dubuque,IA,73.0%,7.0%,4.0%,3.0%,,5.0%,7.0%,,
JNA Institute of Culinary Arts,Philadelphia,PA,23.0%,5.0%,69.0%,,2.0%,,,,2.0%
Somerset Community College,Somerset,KY,95.0%,1.0%,,1.0%,,1.0%,,,
Lake Region State College,Devils Lake,ND,74.0%,5.0%,4.0%,4.0%,,2.0%,6.0%,4.0%,
Doane College,Crete,NE,81.0%,8.0%,3.0%,3.0%,,1.0%,2.0%,,
Southern Methodist University,Dallas,TX,65.0%,11.0%,5.0%,4.0%,6.0%,,8.0%,,
Southern Arkansas University,Magnolia,AR,64.0%,3.0%,27.0%,,,,3.0%,,
Southern University and Agricultural and Mechanical College,Baton Rouge,LA,3.0%,,92.0%,2.0%,,1.0%,,,
Southwest Baptist University,Bolivar,MO,64.0%,2.0%,5.0%,,,26.0%,2.0%,1.0%,
Missouri State University,Springfield,MO,81.0%,3.0%,5.0%,4.0%,1.0%,,4.0%,,
Southwest Texas Junior College,Uvalde,TX,12.0%,67.0%,2.0%,,,13.0%,,4.0%,
Texas State University,San Marcos,TX,47.0%,36.0%,10.0%,3.0%,2.0%,,,,
Southwestern Indian Polytechnic Institute,Albuquerque,NM,,,,,,,,100.0%,
Southwestern Assemblies of God University,Waxahachie,TX,63.0%,21.0%,11.0%,2.0%,,,,2.0%,
Southwestern College,Winfield,KS,46.0%,8.0%,11.0%,4.0%,1.0%,25.0%,4.0%,2.0%,
Southwestern Adventist University,Keene,TX,21.0%,46.0%,16.0%,4.0%,4.0%,,7.0%,,2.0%
University of Louisiana at Lafayette,Lafayette,LA,67.0%,4.0%,22.0%,2.0%,2.0%,1.0%,2.0%,,
Southwestern Oklahoma State University,Weatherford,OK,65.0%,9.0%,4.0%,8.0%,2.0%,3.0%,5.0%,4.0%,
Seminole State College of Florida,Sanford,FL,53.0%,20.0%,18.0%,3.0%,3.0%,,2.0%,,
South Florida State College,Avon Park,FL,45.0%,36.0%,12.0%,2.0%,2.0%,,2.0%,,
Southwestern Community College,Sylva,NC,80.0%,5.0%,2.0%,3.0%,,,1.0%,8.0%,
Spartanburg Community College,Spartanburg,SC,63.0%,7.0%,22.0%,2.0%,4.0%,1.0%,,,
J. Sargeant Reynolds Community College,Richmond,VA,46.0%,3.0%,36.0%,8.0%,6.0%,,,,
California State University: San Marcos,San Marcos,CA,29.0%,42.0%,3.0%,5.0%,10.0%,5.0%,5.0%,,
South Plains College,Levelland,TX,42.0%,47.0%,7.0%,2.0%,1.0%,,,,
Southwest Minnesota State University,Marshall,MN,85.0%,2.0%,3.0%,,2.0%,3.0%,3.0%,,
Wake Forest University,Winston-Salem,NC,71.0%,7.0%,7.0%,3.0%,4.0%,,9.0%,,
Warren Wilson College,Asheville,NC,74.0%,9.0%,5.0%,2.0%,,5.0%,2.0%,2.0%,
Washington and Lee University,Lexington,VA,83.0%,4.0%,2.0%,3.0%,3.0%,,4.0%,,
Washington College,Chestertown,MD,69.0%,5.0%,7.0%,1.0%,3.0%,4.0%,11.0%,,
South Georgia State College - Waycross,Waycross,GA,69.0%,2.0%,26.0%,,1.0%,,,,
Williamsburg Technical College,Kingstree,SC,26.0%,,72.0%,,,1.0%,,,
Webber International University,Babson Park,FL,37.0%,14.0%,26.0%,,,,22.0%,,
Wesley College,Dover,DE,39.0%,6.0%,43.0%,6.0%,1.0%,4.0%,,,
Wesleyan College,Macon,GA,43.0%,6.0%,27.0%,3.0%,3.0%,1.0%,17.0%,,
Western Carolina University,Cullowhee,NC,79.0%,6.0%,6.0%,4.0%,1.0%,1.0%,,,
Fort Peck Community College,Poplar,MT,10.0%,1.0%,,,1.0%,1.0%,,87.0%,
York Technical College,Rock Hill,SC,58.0%,4.0%,24.0%,11.0%,,1.0%,,,
Texas Woman's University,Denton,TX,38.0%,29.0%,19.0%,4.0%,8.0%,,,,
Texas Tech University,Lubbock,TX,59.0%,24.0%,6.0%,2.0%,3.0%,,5.0%,,
Texas Wesleyan University,Fort Worth,TX,31.0%,29.0%,15.0%,6.0%,1.0%,1.0%,16.0%,,
University of Texas at El Paso,El Paso,TX,6.0%,84.0%,2.0%,,,,5.0%,,
North Central Missouri College,Trenton,MO,94.0%,1.0%,2.0%,,,2.0%,1.0%,,
Trinity University,San Antonio,TX,55.0%,21.0%,4.0%,5.0%,6.0%,2.0%,7.0%,,
Tulane University,New Orleans,LA,71.0%,6.0%,8.0%,3.0%,3.0%,5.0%,3.0%,,
Tyler Junior College,Tyler,TX,52.0%,20.0%,20.0%,3.0%,1.0%,1.0%,,,
Tarrant County College,Fort Worth,TX,39.0%,32.0%,17.0%,3.0%,6.0%,1.0%,,,
Embry-Riddle Aeronautical University: Worldwide Campus,Daytona Beach,FL,55.0%,6.0%,8.0%,7.0%,3.0%,15.0%,4.0%,,
Mercy College of Health Sciences,Des Moines,IA,89.0%,2.0%,5.0%,,3.0%,,,,
University of Minnesota: Duluth,Duluth,MN,85.0%,3.0%,2.0%,3.0%,3.0%,,2.0%,,
University of Minnesota: Twin Cities,Minneapolis,MN,69.0%,4.0%,4.0%,4.0%,9.0%,,9.0%,,
University of Missouri: Columbia,Columbia,MO,79.0%,4.0%,8.0%,3.0%,2.0%,,4.0%,,
Missouri University of Science and Technology,Rolla,MO,80.0%,3.0%,3.0%,3.0%,3.0%,3.0%,4.0%,,
University of Nebraska - Lincoln,Lincoln,NE,,6.0%,3.0%,3.0%,,1.0%,9.0%,78.0%,
University of North Dakota,Grand Forks,ND,83.0%,3.0%,2.0%,3.0%,2.0%,2.0%,4.0%,1.0%,
University of Oklahoma,Norman,OK,61.0%,9.0%,5.0%,7.0%,6.0%,2.0%,4.0%,4.0%,
University of St. Thomas,Houston,TX,24.0%,44.0%,7.0%,3.0%,12.0%,2.0%,9.0%,,
University of South Dakota,Vermillion,SD,87.0%,3.0%,2.0%,3.0%,1.0%,,2.0%,2.0%,
University of Texas at Austin,Austin,TX,42.0%,23.0%,4.0%,4.0%,21.0%,,5.0%,,
University of Tulsa,Tulsa,OK,57.0%,5.0%,5.0%,,4.0%,2.0%,24.0%,3.0%,
Metropolitan Community College,Omaha,NE,60.0%,12.0%,11.0%,3.0%,4.0%,7.0%,1.0%,,
East Central College,Union,MO,94.0%,2.0%,1.0%,,,,,,
Jarvis Christian College,Hawkins,TX,4.0%,11.0%,83.0%,,,,,,
Brookhaven College,Farmers Branch,TX,30.0%,36.0%,18.0%,1.0%,10.0%,4.0%,,,
Pensacola State College,Pensacola,FL,64.0%,7.0%,17.0%,5.0%,3.0%,2.0%,,,
Elon University,Elon,NC,81.0%,6.0%,5.0%,3.0%,2.0%,,2.0%,,
Hillsborough Community College,Tampa,FL,38.0%,25.0%,17.0%,2.0%,3.0%,12.0%,3.0%,,
University of South Carolina: Columbia,Columbia,SC,77.0%,4.0%,10.0%,3.0%,2.0%,2.0%,1.0%,,
Newberry College,Newberry,SC,56.0%,4.0%,26.0%,3.0%,,5.0%,4.0%,,
Florida Southern College,Lakeland,FL,74.0%,11.0%,5.0%,2.0%,2.0%,1.0%,4.0%,,
Eastern New Mexico University: Roswell,Roswell,NM,35.0%,52.0%,2.0%,,,5.0%,3.0%,2.0%,
Colorado Technical University: North Kansas City,North Kansas City,MO,31.0%,2.0%,8.0%,,,58.0%,,,
Averett University,Danville,VA,58.0%,3.0%,32.0%,,1.0%,,5.0%,,
Brevard College,Brevard,NC,69.0%,5.0%,13.0%,3.0%,1.0%,5.0%,4.0%,,
University of Virginia,Charlottesville,VA,59.0%,6.0%,7.0%,4.0%,13.0%,6.0%,5.0%,,
Mars Hill University,Mars Hill,NC,66.0%,5.0%,20.0%,2.0%,2.0%,3.0%,,1.0%,
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary,Los Angeles,CA,96.0%,,,,,,4.0%,,
Amherst College,Amherst,MA,43.0%,14.0%,12.0%,5.0%,14.0%,3.0%,9.0%,,
New England School of Communications,Bangor,ME,95.0%,,4.0%,,,,,,
Dominican School of Philosophy and Theology,Berkeley,CA,50.0%,50.0%,,,,,,,
Northern Arizona University,Flagstaff,AZ,59.0%,22.0%,3.0%,5.0%,2.0%,,4.0%,3.0%,
Massasoit Community College,Brockton,MA,56.0%,7.0%,28.0%,4.0%,2.0%,3.0%,,,
Northern Essex Community College,Haverhill,MA,50.0%,41.0%,4.0%,1.0%,2.0%,,,,
California Baptist University,Riverside,CA,38.0%,36.0%,8.0%,6.0%,5.0%,4.0%,2.0%,,1.0%
Community College of Aurora,Aurora,CO,34.0%,26.0%,21.0%,6.0%,5.0%,4.0%,4.0%,,
Shimer College,Chicago,IL,64.0%,9.0%,13.0%,1.0%,8.0%,4.0%,,,
Illinois Eastern Community Colleges: Olney Central College,Olney,IL,96.0%,,2.0%,,1.0%,,,,
Robert Morris University: Chicago,Chicago,IL,36.0%,31.0%,25.0%,2.0%,3.0%,3.0%,,,
University of Great Falls,Great Falls,MT,74.0%,6.0%,2.0%,,4.0%,11.0%,,2.0%,
Central Oregon Community College,Bend,OR,72.0%,11.0%,,4.0%,1.0%,9.0%,,2.0%,
Delaware County Community College,Media,PA,59.0%,3.0%,28.0%,1.0%,5.0%,4.0%,,,
Columbia College,Columbia,SC,46.0%,2.0%,34.0%,,2.0%,14.0%,,1.0%,
Valley College,Martinsburg,WV,73.0%,5.0%,18.0%,2.0%,,,,2.0%,
Community College of Rhode Island,Warwick,RI,58.0%,20.0%,9.0%,5.0%,3.0%,4.0%,,,
Colby College,Waterville,ME,62.0%,6.0%,3.0%,5.0%,6.0%,7.0%,11.0%,,
University of Rochester,Rochester,NY,46.0%,7.0%,5.0%,3.0%,11.0%,6.0%,21.0%,,
Berkeley College,Woodland Park,NJ,15.0%,34.0%,21.0%,,2.0%,26.0%,,,
University of Dayton,Dayton,OH,79.0%,4.0%,3.0%,2.0%,1.0%,1.0%,9.0%,,
Viterbo University,La Crosse,WI,89.0%,2.0%,2.0%,2.0%,2.0%,2.0%,,,
Point Park University,Pittsburgh,PA,70.0%,4.0%,16.0%,4.0%,2.0%,,4.0%,,
Massachusetts College of Art and Design,Boston,MA,63.0%,10.0%,4.0%,,8.0%,9.0%,5.0%,,
University of La Verne,La Verne,CA,23.0%,53.0%,5.0%,5.0%,6.0%,2.0%,6.0%,,
TransPacific Hawaii College,Honolulu,HI,,,,,,,100.0%,,
Mercy College,Dobbs Ferry,NY,25.0%,38.0%,24.0%,1.0%,4.0%,6.0%,2.0%,,
Davenport University,Grand Rapids,MI,69.0%,3.0%,13.0%,3.0%,2.0%,6.0%,2.0%,,
Alcorn State University,Lorman,MS,3.0%,,92.0%,2.0%,,,2.0%,,
SUNY College at Oneonta,Oneonta,NY,77.0%,12.0%,4.0%,2.0%,2.0%,1.0%,,,
Pinnacle Career Institute: Kansas City,Kansas City,MO,56.0%,10.0%,26.0%,3.0%,2.0%,,,2.0%,
Dowling College,Oakdale,NY,32.0%,9.0%,11.0%,,,42.0%,4.0%,,
Berkeley College of New York City,New York,NY,7.0%,21.0%,25.0%,,3.0%,27.0%,16.0%,,
Tarleton State University,Stephenville,TX,67.0%,19.0%,8.0%,3.0%,,,,,
Texarkana College,Texarkana,TX,65.0%,7.0%,20.0%,4.0%,1.0%,2.0%,,,
Texas Christian University,Fort Worth,TX,72.0%,12.0%,5.0%,,3.0%,2.0%,5.0%,,
Texas College,Tyler,TX,4.0%,8.0%,85.0%,,,2.0%,,,
Texas A&M University-Kingsville,Kingsville,TX,17.0%,71.0%,7.0%,,,,3.0%,,
Texas Lutheran University,Seguin,TX,54.0%,32.0%,10.0%,,,2.0%,,,
Texas Southern University,Houston,TX,3.0%,6.0%,78.0%,,2.0%,,10.0%,,
Southern Arkansas University Tech,Camden,AR,59.0%,2.0%,34.0%,4.0%,,,,,
Southwestern Christian College,Terrell,TX,1.0%,13.0%,76.0%,3.0%,,3.0%,3.0%,1.0%,
Seward County Community College,Liberal,KS,40.0%,50.0%,4.0%,1.0%,2.0%,1.0%,1.0%,,
Nunez Community College,Chalmette,LA,38.0%,6.0%,50.0%,3.0%,1.0%,1.0%,,,
Seminole State College,Seminole,OK,60.0%,4.0%,7.0%,,,,1.0%,27.0%,
Southern University at Shreveport,Shreveport,LA,6.0%,,84.0%,,,,9.0%,,
Lindenwood University,St. Charles,MO,55.0%,4.0%,13.0%,3.0%,,13.0%,12.0%,,
University of Arkansas at Little Rock,Little Rock,AR,53.0%,7.0%,27.0%,8.0%,2.0%,,3.0%,,
Lon Morris College,Jacksonville,TX,28.0%,6.0%,48.0%,,,15.0%,2.0%,,
Loras College,Dubuque,IA,83.0%,7.0%,2.0%,2.0%,,3.0%,1.0%,,
Louisiana College,Pineville,LA,62.0%,2.0%,29.0%,,,,3.0%,,
Loyola University New Orleans,New Orleans,LA,52.0%,17.0%,16.0%,5.0%,3.0%,4.0%,2.0%,,
North Iowa Area Community College,Mason CIty,IA,81.0%,6.0%,6.0%,2.0%,1.0%,,3.0%,,
McMurry University,Abilene,TX,47.0%,25.0%,17.0%,2.0%,,,7.0%,,
Xavier University of Louisiana,New Orleans,LA,3.0%,3.0%,78.0%,3.0%,9.0%,,2.0%,,
College of St. Scholastica,Duluth,MN,83.0%,3.0%,3.0%,3.0%,2.0%,,3.0%,1.0%,
Avila University,Kansas City,MO,55.0%,9.0%,20.0%,4.0%,2.0%,,9.0%,,
University of St. Thomas,Saint Paul,MN,82.0%,4.0%,3.0%,3.0%,4.0%,1.0%,3.0%,,
University of the Ozarks,Clarksville,AR,66.0%,10.0%,6.0%,4.0%,,,12.0%,,
Concordia College: Moorhead,Moorhead,MN,84.0%,2.0%,2.0%,2.0%,1.0%,5.0%,3.0%,,
Concordia University St. Paul,Saint Paul,MN,65.0%,4.0%,12.0%,4.0%,8.0%,2.0%,5.0%,,
Concordia University,Seward,NE,76.0%,6.0%,4.0%,,,10.0%,2.0%,,
Central Baptist College,Conway,AR,72.0%,3.0%,19.0%,,,,2.0%,1.0%,2.0%
Cottey College,Nevada,MO,63.0%,10.0%,5.0%,5.0%,1.0%,,15.0%,,
Central Christian College of the Bible,Moberly,MO,81.0%,5.0%,8.0%,5.0%,,,,,
Kilian Community College,Sioux Falls,SD,49.0%,,18.0%,,3.0%,21.0%,,8.0%,
Dallas Christian College,Dallas,TX,45.0%,17.0%,23.0%,6.0%,,4.0%,2.0%,,
Dakota Wesleyan University,Mitchell,SD,89.0%,2.0%,1.0%,4.0%,,,2.0%,,
Dana College,Blair,NE,86.0%,5.0%,6.0%,,2.0%,,,,
Dallas Baptist University,Dallas,TX,60.0%,16.0%,14.0%,,2.0%,,6.0%,,
Del Mar College,Corpus Christi,TX,25.0%,66.0%,3.0%,3.0%,2.0%,,,,
East Carolina University,Greenville,NC,68.0%,6.0%,16.0%,3.0%,3.0%,2.0%,,,
Eastern Mennonite University,Harrisonburg,VA,72.0%,8.0%,9.0%,3.0%,2.0%,3.0%,4.0%,,
Des Moines Area Community College,Ankeny,IA,73.0%,8.0%,7.0%,3.0%,4.0%,3.0%,1.0%,,
East Central University,Ada,OK,55.0%,5.0%,3.0%,10.0%,,2.0%,11.0%,14.0%,
East Texas Baptist University,Marshall,TX,67.0%,8.0%,19.0%,4.0%,,,,,
Texas A&M University-Commerce,Commerce,TX,46.0%,20.0%,22.0%,6.0%,2.0%,,2.0%,,
Eastern Oklahoma State College,Wilburton,OK,60.0%,2.0%,5.0%,,,4.0%,,27.0%,
McNeese State University,Lake Charles,LA,67.0%,3.0%,18.0%,3.0%,2.0%,,7.0%,,
McPherson College,McPherson,KS,70.0%,12.0%,10.0%,2.0%,,,4.0%,,
Midland University,Fremont,NE,71.0%,3.0%,5.0%,6.0%,,11.0%,2.0%,,
Midwestern State University,Wichita Falls,TX,51.0%,18.0%,14.0%,4.0%,3.0%,,9.0%,,
Crossroads College,Rochester,MN,64.0%,6.0%,19.0%,,1.0%,6.0%,3.0%,1.0%,
University of Texas at Dallas,Richardson,TX,36.0%,18.0%,6.0%,4.0%,30.0%,2.0%,4.0%,,
Trinity College of Florida,Trinity,FL,41.0%,17.0%,29.0%,,2.0%,10.0%,1.0%,,
Williston State College,Williston,ND,71.0%,6.0%,7.0%,4.0%,1.0%,2.0%,7.0%,2.0%,
Westminster College,Fulton,MO,71.0%,4.0%,7.0%,1.0%,2.0%,4.0%,9.0%,1.0%,
West Texas A&M University,Canyon,TX,60.0%,27.0%,5.0%,2.0%,1.0%,2.0%,2.0%,,
Wharton County Junior College,Wharton,TX,35.0%,39.0%,12.0%,1.0%,11.0%,,,,
Wiley College,Marshall,TX,,,86.0%,,,4.0%,10.0%,,
William Jewell College,Liberty,MO,79.0%,4.0%,4.0%,4.0%,1.0%,3.0%,5.0%,,
William Penn University,Oskaloosa,IA,59.0%,10.0%,19.0%,2.0%,1.0%,3.0%,5.0%,,
William Woods University,Fulton,MO,81.0%,5.0%,4.0%,2.0%,,2.0%,4.0%,,
Wichita State University,Wichita,KS,61.0%,11.0%,6.0%,4.0%,7.0%,2.0%,7.0%,,
Upper Iowa University,Fayette,IA,66.0%,4.0%,19.0%,1.0%,,4.0%,3.0%,,
University of Texas Medical Branch at Galveston,Galveston,TX,45.0%,21.0%,10.0%,2.0%,16.0%,3.0%,2.0%,,
American Samoa Community College,Pago Pago,AS,,,,,,,10.0%,,90.0%
Institute of Design and Construction,Brooklyn,NY,24.0%,21.0%,38.0%,3.0%,13.0%,,,2.0%,
Oral Roberts University,Tulsa,OK,50.0%,9.0%,15.0%,6.0%,2.0%,8.0%,8.0%,3.0%,
Oglala Lakota College,Kyle,SD,2.0%,,,,,,,97.0%,
Oklahoma State University Institute of Technology: Okmulgee,Okmulgee,OK,51.0%,6.0%,4.0%,9.0%,,14.0%,2.0%,12.0%,
Southwestern Christian University,Bethany,OK,44.0%,8.0%,25.0%,3.0%,,5.0%,10.0%,4.0%,
Lamar State College at Port Arthur,Port Arthur,TX,36.0%,28.0%,27.0%,1.0%,7.0%,,,,
Ranger College,Ranger,TX,66.0%,11.0%,5.0%,14.0%,,,3.0%,,
Rice University,Houston,TX,37.0%,14.0%,7.0%,4.0%,24.0%,2.0%,12.0%,,
Rockhurst University,Kansas City,MO,72.0%,8.0%,4.0%,4.0%,3.0%,7.0%,1.0%,,
Research College of Nursing,Kansas City,MO,74.0%,3.0%,3.0%,1.0%,1.0%,15.0%,,1.0%,
Rainy River Community College,International Falls,MN,72.0%,6.0%,16.0%,,,,,5.0%,
Newman University,Wichita,KS,63.0%,15.0%,5.0%,3.0%,5.0%,,8.0%,1.0%,
St. Ambrose University,Davenport,IA,78.0%,7.0%,4.0%,2.0%,1.0%,4.0%,3.0%,,
St. Edward's University,Austin,TX,37.0%,41.0%,4.0%,3.0%,3.0%,2.0%,8.0%,,
St. Gregory's University,Shawnee,OK,53.0%,12.0%,6.0%,9.0%,,2.0%,3.0%,14.0%,
St. John's University,Collegeville,MN,79.0%,8.0%,5.0%,,3.0%,,4.0%,,
South Arkansas Community College,El Dorado,AR,54.0%,6.0%,39.0%,,,,,,
Triangle Tech: Erie,Erie,PA,79.0%,6.0%,3.0%,,3.0%,6.0%,,3.0%,
Northwood University: Texas,Cedar Hill,TX,21.0%,19.0%,40.0%,,,17.0%,1.0%,,
Ouachita Baptist University,Arkadelphia,AR,84.0%,4.0%,8.0%,,,,2.0%,,
Our Lady of the Lake University of San Antonio,San Antonio,TX,11.0%,76.0%,8.0%,2.0%,,2.0%,,,
Northwest Missouri State University,Maryville,MO,80.0%,4.0%,6.0%,3.0%,,1.0%,4.0%,,
University of Northwestern - St. Paul,Saint Paul,MN,84.0%,3.0%,4.0%,2.0%,4.0%,,,,
Northwestern College,Orange City,IA,82.0%,5.0%,2.0%,2.0%,,5.0%,4.0%,,
Northwestern State University,Natchitoches,LA,53.0%,6.0%,32.0%,4.0%,,2.0%,2.0%,2.0%,
Nebraska Indian Community College,Macy,NE,2.0%,1.0%,,,,,,96.0%,
Northeast Texas Community College,Mount Pleasant,TX,53.0%,29.0%,11.0%,3.0%,,,2.0%,,
New England Culinary Institute,Montpelier,VT,67.0%,5.0%,8.0%,1.0%,4.0%,13.0%,,1.0%,
Odessa College,Odessa,TX,30.0%,61.0%,5.0%,,1.0%,1.0%,,,
Oklahoma Baptist University,Shawnee,OK,69.0%,2.0%,6.0%,11.0%,1.0%,2.0%,3.0%,5.0%,
Ozark Christian College,Joplin,MO,83.0%,5.0%,3.0%,3.0%,,2.0%,2.0%,1.0%,
Oklahoma City University,Oklahoma City,OK,61.0%,9.0%,6.0%,7.0%,2.0%,,12.0%,3.0%,
Evangel University,Springfield,MO,78.0%,4.0%,4.0%,3.0%,2.0%,8.0%,,1.0%,
El Centro College,Dallas,TX,21.0%,41.0%,28.0%,1.0%,5.0%,3.0%,,,
University of the Incarnate Word,San Antonio,TX,19.0%,58.0%,8.0%,2.0%,2.0%,6.0%,6.0%,,
Independence Community College,Independence,KS,63.0%,2.0%,23.0%,5.0%,,2.0%,2.0%,2.0%,
Allen County Community College,Iola,KS,85.0%,6.0%,5.0%,1.0%,1.0%,,,1.0%,
Iowa State University,Ames,IA,75.0%,5.0%,3.0%,2.0%,3.0%,5.0%,7.0%,,
University of Northern Iowa,Cedar Falls,IA,83.0%,4.0%,3.0%,2.0%,1.0%,4.0%,4.0%,,
Iowa Wesleyan College,Mount Pleasant,IA,65.0%,5.0%,6.0%,2.0%,,14.0%,6.0%,,
Indian Hills Community College,Ottumwa,IA,85.0%,2.0%,3.0%,,,8.0%,,,
Inver Hills Community College,Inver Grove Heights,MN,68.0%,8.0%,13.0%,,8.0%,1.0%,,1.0%,
University of Jamestown,Jamestown,ND,74.0%,7.0%,5.0%,,,,10.0%,1.0%,1.0%
Pittsburg State University,Pittsburg,KS,79.0%,5.0%,4.0%,6.0%,,,3.0%,1.0%,
Kansas Wesleyan University,Salina,KS,66.0%,15.0%,12.0%,3.0%,,1.0%,2.0%,,
Kilgore College,Kilgore,TX,57.0%,18.0%,19.0%,3.0%,1.0%,1.0%,,,
Southeast Community College,Lincoln,NE,80.0%,7.0%,7.0%,,4.0%,1.0%,,1.0%,
Lake Superior College,Duluth,MN,85.0%,3.0%,3.0%,5.0%,1.0%,1.0%,,2.0%,
Louisiana State University in Shreveport,Shreveport,LA,56.0%,4.0%,23.0%,4.0%,2.0%,8.0%,2.0%,,
Metropolitan Community College: Longview,Lee's Summit,MO,66.0%,6.0%,18.0%,6.0%,1.0%,3.0%,,,
Lamar University,Beaumont,TX,48.0%,15.0%,27.0%,2.0%,5.0%,,1.0%,,
Langston University,Langston,OK,6.0%,,80.0%,,,12.0%,,,
LeTourneau University,Longview,TX,62.0%,10.0%,9.0%,4.0%,1.0%,10.0%,3.0%,,
Lincoln University,Jefferson City,MO,34.0%,2.0%,53.0%,4.0%,,4.0%,2.0%,,
Bethel College,North Newton,KS,71.0%,6.0%,14.0%,3.0%,1.0%,3.0%,,,
University of Arkansas at Fort Smith,Fort Smith,AR,72.0%,10.0%,4.0%,5.0%,4.0%,,2.0%,3.0%,
Nicholls State University,Thibodaux,LA,67.0%,4.0%,21.0%,3.0%,,,2.0%,2.0%,
Friends University,Wichita,KS,65.0%,7.0%,12.0%,7.0%,,7.0%,,1.0%,
Minnesota State Community and Technical College,Fergus Falls,MN,70.0%,4.0%,7.0%,3.0%,2.0%,12.0%,,1.0%,
Barclay College,Haviland,KS,74.0%,4.0%,14.0%,4.0%,,,2.0%,,
Garden City Community College,Garden City,KS,45.0%,36.0%,8.0%,,3.0%,6.0%,1.0%,,
Dakota State University,Madison,SD,83.0%,4.0%,4.0%,4.0%,2.0%,,1.0%,1.0%,
Henderson State University,Arkadelphia,AR,66.0%,4.0%,24.0%,4.0%,,,1.0%,,
Hendrix College,Conway,AR,76.0%,5.0%,6.0%,3.0%,5.0%,,4.0%,,
Hesston College,Hesston,KS,68.0%,11.0%,6.0%,4.0%,2.0%,,9.0%,,
Highland Community College,Highland,KS,72.0%,4.0%,9.0%,4.0%,2.0%,6.0%,,3.0%,
Howard College,Big Spring,TX,45.0%,46.0%,3.0%,2.0%,,,,,
Howard Payne University,Brownwood,TX,63.0%,22.0%,8.0%,3.0%,,3.0%,,,
