School ID,University,State,City,Enrollment (Undergrad),Male Enrollment,Female Enrollment,Native Hawaiian/Pacific Islander,American Indian/Alaskan Native,Multi-race (not Hispanic/Latino),Asian,White,Black/African-American,International,Hispanic/Latino,Unknown
000142,Thiel College,PA,Greenville,926,500,426,0.1,0.1,2.7,0.0,79.2,9.5,4.3,1.8,6.5
000143,Boston Architectural College,MA,Boston,472,272,200,0.3,0.3,4.5,9.0,53.7,6.6,3.6,17.6,8.1
000144,Boston College,MA,Chestnut Hill,9192,4297,4895,0.0,0.1,3.3,10.6,66.8,4.2,6.1,10.4,4.6
000145,Thomas Jefferson University,PA,Philadelphia,1131,,,,,,,,,,,
000146,Boston University,MA,Boston,17932,7120,10812,0.2,0.1,4.2,16.1,53.1,4.7,20.1,12.9,8.7
000147,Touro College,NY,New York,6912,2104,4808,0.2,0.2,0.5,4.0,67.4,15.1,3.3,8.3,4.4
000148,The College of New Jersey,NJ,Ewing,6758,2747,4011,0.3,0.3,0.4,10.2,65.4,5.6,0.3,12.3,5.5
000149,Manhattan College,NY,Riverdale,3576,1959,1617,0.1,0.3,2.2,4.8,58.6,4.5,2.8,21.1,8.5
000150,Rosemont College,PA,Rosemont,529,183,346,0.0,0.0,4.4,5.6,38.7,40.8,1.9,6.6,3.9
000151,Trinity College,CT,Hartford,2289,1200,1089,0.0,0.1,3.1,4.3,71.6,6.6,9.3,8.0,6.4
000152,Manhattan School of Music,NY,New York,389,176,213,0.0,0.0,8.6,11.8,57.0,4.1,43.2,12.2,6.3
000153,Manhattanville College,NY,Purchase,1802,621,1181,0.3,0.2,2.0,1.8,38.2,9.1,8.9,17.7,30.7
000155,Tufts University,MA,Medford,5290,2635,2655,0.0,0.0,4.8,12.3,63.6,4.2,9.1,6.9,8.1
000156,University of Bridgeport,CT,Bridgeport,2897,1032,1865,0.4,0.9,1.9,0.4,28.1,42.8,16.1,22.0,
000157,Union College,NY,Schenectady,2269,1230,1039,0.0,0.0,2.4,6.7,78.8,4.7,7.2,7.4,0.0
000158,Bridgewater State University,MA,Bridgewater,9608,3964,5644,0.1,0.2,3.2,2.1,77.4,9.4,0.3,3.9,3.7
000159,United States Coast Guard Academy,CT,New London,898,588,310,,,,,,,,,
000161,Mansfield University of Pennsylvania,PA,Mansfield,2195,846,1349,0.0,0.3,2.0,0.8,82.7,9.5,0.4,3.3,1.5
000163,Brown University,RI,Providence,6652,3126,3526,0.2,0.5,7.1,15.1,48.8,7.6,11.3,12.9,7.9
000164,United States Merchant Marine Academy,NY,Kings Point,958,819,139,0.0,0.8,0.0,5.7,80.5,2.6,1.4,9.3,1.0
000165,United States Military Academy,NY,West Point,4348,3524,824,0.6,1.1,3.2,5.9,66.3,10.0,1.4,11.9,1.0
000166,Marist College,NY,Poughkeepsie,5576,2281,3295,0.1,0.1,2.1,2.9,79.7,3.8,2.0,9.4,1.8
000168,Unity College,ME,Unity,643,314,329,0.0,0.6,3.7,1.6,91.4,0.8,0.2,1.9,0.0
000169,Marlboro College,VT,Marlboro,192,98,94,0.0,0.6,5.0,0.6,78.8,0.0,1.6,1.1,14.0
000172,Ursinus College,PA,Collegeville,1643,780,863,0.0,0.1,3.6,5.0,76.2,6.5,2.3,5.8,2.8
000173,Utica College,NY,Utica,3084,1202,1882,0.1,0.6,2.8,3.6,68.3,11.6,2.1,8.6,4.4
000174,Marymount Manhattan College,NY,New York,1928,445,1483,0.1,0.8,1.3,3.9,59.4,10.4,4.7,18.5,5.6
000175,Vassar College,NY,Poughkeepsie,2435,1067,1368,0.0,0.0,6.7,12.1,63.8,5.3,7.0,11.9,0.1
000176,Marywood University,PA,Scranton,1933,612,1321,0.1,0.1,1.7,2.2,77.1,2.3,2.8,6.1,10.4
000177,Bryant University,RI,Smithfield,3459,2037,1422,0.2,0.4,1.2,5.0,79.2,4.3,7.6,7.2,2.5
000178,Bryn Mawr College,PA,Bryn Mawr,1346,1,1345,0.1,0.2,6.9,16.2,46.5,7.6,23.3,11.4,11.1
000179,Bucknell University,PA,Lewisburg,3569,1709,1860,0.0,0.0,3.7,4.7,81.2,3.6,5.4,6.5,0.2
000180,Cabrini College,PA,Radnor,1577,587,990,0.2,0.1,3.7,1.1,62.8,19.6,0.1,7.1,5.4
000181,California University of Pennsylvania,PA,California,5785,2710,3075,0.2,0.2,3.3,0.8,78.1,12.3,0.8,2.9,2.2
000182,Massachusetts College of Art and Design,MA,Boston,1867,538,1329,0.3,0.3,1.1,8.3,65.7,3.1,3.7,10.1,11.2
000183,University of Vermont,VT,Burlington,10973,4867,6106,0.0,0.1,3.3,2.7,85.5,1.3,3.9,4.4,2.6
000184,Massachusetts College of Pharmacy and Health Sciences,MA,Boston,3947,1195,2752,0.1,0.3,1.0,27.6,48.1,7.6,13.1,5.7,9.6
000185,Villanova University,PA,Villanova,7191,3365,3826,0.0,0.1,2.2,7.4,75.8,5.3,1.8,7.7,1.4
000186,Massachusetts Institute of Technology,MA,Cambridge,4527,2445,2082,0.0,0.1,6.6,27.7,40.5,6.3,9.6,16.9,1.9
000187,Carlow University,PA,Pittsburgh,1399,165,1234,0.2,0.4,4.6,1.4,61.4,21.6,0.2,2.4,8.1
000188,School of Visual Arts,NY,New York,3707,1293,2414,0.5,0.7,0.0,22.3,53.6,9.6,35.3,8.6,4.6
000189,Wagner College,NY,Staten Island,1750,644,1106,0.1,0.1,2.1,3.4,68.4,7.2,3.0,11.4,7.2
000190,Washington & Jefferson College,PA,Washington,1350,696,654,0.2,0.3,3.1,2.3,83.2,4.7,5.6,3.7,2.5
000191,Massachusetts Maritime Academy,MA,Buzzards Bay,1571,1367,204,0.0,0.3,2.9,1.2,87.6,1.0,0.5,3.7,3.3
000192,Waynesburg University,PA,Waynesburg,1430,576,854,0.3,0.1,2.2,0.6,91.6,3.4,0.1,1.1,0.7
000193,University of Massachusetts Amherst,MA,Amherst,22748,11587,11161,0.0,0.1,2.8,9.4,69.8,3.9,3.9,5.5,8.3
000194,Webb Institute,NY,Glen Cove,91,74,17,0.0,0.0,7.8,11.1,77.8,0.0,1.1,0.0,3.3
000195,Wellesley College,MA,Wellesley,2356,,,0.0,0.1,6.7,25.8,44.6,6.1,11.0,12.2,4.5
000197,University of Massachusetts Boston,MA,Boston,12949,5864,7085,0.0,0.2,2.9,13.5,40.7,17.5,12.1,14.9,10.2
000198,Medaille College,NY,Buffalo,1803,585,1218,0.2,0.6,2.9,2.0,57.1,19.8,,6.5,5.6
000199,Wells College,NY,Aurora,572,188,384,0.9,0.9,3.0,2.1,64.8,12.2,1.0,8.1,8.0
000200,Mercy College,NY,Dobbs Ferry,8016,2455,5561,0.3,0.2,1.5,3.9,27.2,23.8,1.0,35.9,7.3
000201,Mercyhurst University,PA,Erie,2491,1102,1389,0.2,0.5,0.0,1.1,50.6,5.1,12.1,4.0,38.4
000202,Wentworth Institute of Technology,MA,Boston,4324,3478,846,0.0,0.3,6.2,7.6,64.5,4.7,7.4,3.1,13.4
000204,Carnegie Mellon University,PA,Pittsburgh,6454,3495,2959,0.0,0.1,5.1,33.9,38.8,5.7,22.5,9.7,6.6
000205,Wesleyan University,CT,Middletown,2897,1349,1548,0.1,0.0,6.3,9.0,58.1,8.5,8.9,11.6,6.3
000206,Merrimack College,MA,North Andover,3191,1541,1650,0.0,0.1,1.6,1.3,76.3,3.3,4.5,5.3,12.0
000207,West Chester University of Pennsylvania,PA,West Chester,14221,5765,8456,0.1,0.1,2.9,2.2,78.2,10.5,0.5,5.4,0.6
000208,Messiah College,PA,Mechanicsburg,2819,1106,1713,,,,,,,,,
000209,Castleton State College,VT,Castleton,1985,956,1029,0.0,0.5,1.6,0.8,86.8,1.7,1.7,2.4,6.4
000211,Western Connecticut State University,CT,Danbury,5298,2478,2820,0.1,0.1,1.1,3.8,61.3,12.2,0.3,18.2,3.1
000212,Western New England University,MA,Springfield,2733,1659,1074,0.1,0.3,1.2,3.5,75.8,6.0,3.3,7.8,5.1
000213,Middlebury College,VT,Middlebury,2542,1194,1348,0.0,0.2,5.6,7.0,72.5,3.6,10.5,10.1,1.1
000214,Westfield State University,MA,Westfield,5616,2609,3007,0.1,0.2,4.4,1.5,77.6,4.4,0.3,8.6,3.1
000215,Millersville University of Pennsylvania,PA,Millersville,7084,3132,3952,0.1,0.1,2.6,2.5,76.7,9.4,0.4,8.1,0.4
000216,Cedar Crest College,PA,Allentown,1388,138,1250,0.3,0.3,1.1,3.3,64.6,10.5,5.3,15.1,4.8
000217,Westminster College,PA,New Wilmington,1122,500,622,0.0,0.2,2.1,1.1,77.6,3.1,0.4,0.9,15.0
000218,Centenary College,NJ,Hackettstown,1708,681,1027,0.0,0.5,0.5,1.3,63.7,10.5,3.6,9.8,13.7
000219,Wheelock College,MA,Boston,811,131,680,0.1,0.0,3.0,3.7,62.0,12.9,2.5,11.5,6.7
000220,Central Connecticut State University,CT,New Britain,9933,5290,4643,0.1,0.1,2.7,3.8,65.5,11.7,1.6,13.4,2.8
000221,Wheaton College,MA,Norton,1598,572,1026,0.1,0.1,3.0,5.5,74.7,6.9,10.6,8.0,1.8
000222,Widener University,PA,Chester,3554,1580,1974,0.1,0.2,2.5,3.9,72.7,13.2,3.9,5.4,1.8
000223,Chatham University,PA,Pittsburgh,1034,177,857,0.0,0.7,2.5,2.5,74.0,10.5,2.1,4.8,4.9
000224,Wilkes University,PA,Wilkes-Barre,2421,1261,1160,0.1,0.4,4.0,3.1,79.5,4.1,8.3,6.7,2.0
000225,Chestnut Hill College,PA,Philadelphia,1443,483,960,0.3,0.2,3.6,2.1,39.6,37.4,2.6,9.0,7.9
000226,William Paterson University,NJ,Wayne,9398,4247,5151,0.0,0.1,3.1,6.9,43.7,15.8,0.5,27.7,2.6
